Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-07-16 00:00:00+09:00,764.16,774.4,760.22,774.4,693900,0.0,0.0
2015-07-17 00:00:00+09:00,780.27,780.27,768.73,773.23,774000,0.0,0.0
2015-07-20 00:00:00+09:00,778.19,782.64,776.41,782.64,667800,0.0,0.0
2015-07-21 00:00:00+09:00,787.52,788.13,774.68,781.99,761500,0.0,0.0
2015-07-22 00:00:00+09:00,780.39,784.58,776.28,776.57,700600,0.0,0.0
2015-07-23 00:00:00+09:00,781.21,782.3,773.6,776.99,882500,0.0,0.0
2015-07-24 00:00:00+09:00,778.54,779.1,773.64,776.26,645200,0.0,0.0
2015-07-27 00:00:00+09:00,773.37,773.37,751.04,751.04,600700,0.0,0.0
2015-07-28 00:00:00+09:00,738.87,747.07,722.83,745.24,609600,0.0,0.0
2015-07-29 00:00:00+09:00,751.92,755.23,730.47,730.47,734600,0.0,0.0
2015-07-30 00:00:00+09:00,736.97,739.66,711.11,712.86,568800,0.0,0.0
2015-07-31 00:00:00+09:00,713.87,725.06,703.56,725.06,512100,0.0,0.0
2015-08-03 00:00:00+09:00,728.03,732.24,714.34,714.34,422100,0.0,0.0
2015-08-04 00:00:00+09:00,712.78,730.06,711.59,730.03,422600,0.0,0.0
2015-08-05 00:00:00+09:00,733.0,741.54,732.3,741.26,418300,0.0,0.0
2015-08-06 00:00:00+09:00,747.19,750.75,745.16,747.74,448600,0.0,0.0
2015-08-07 00:00:00+09:00,743.82,751.74,741.72,751.49,443800,0.0,0.0
2015-08-10 00:00:00+09:00,754.6,754.6,742.76,746.34,432200,0.0,0.0
2015-08-11 00:00:00+09:00,752.72,753.13,732.26,732.26,622200,0.0,0.0
2015-08-12 00:00:00+09:00,730.24,731.72,692.54,717.2,583100,0.0,0.0
2015-08-13 00:00:00+09:00,716.61,731.95,711.54,731.36,496900,0.0,0.0
2015-08-17 00:00:00+09:00,733.97,734.9,722.01,722.01,446200,0.0,0.0
2015-08-18 00:00:00+09:00,725.68,726.46,698.24,699.8,596700,0.0,0.0
2015-08-19 00:00:00+09:00,692.31,693.48,652.12,670.55,572100,0.0,0.0
2015-08-20 00:00:00+09:00,664.84,678.89,656.71,656.71,439900,0.0,0.0
2015-08-21 00:00:00+09:00,625.56,637.87,615.1,627.05,615400,0.0,0.0
2015-08-24 00:00:00+09:00,624.09,640.67,610.12,613.33,515000,0.0,0.0
2015-08-25 00:00:00+09:00,625.61,646.79,612.35,645.43,518700,0.0,0.0
2015-08-26 00:00:00+09:00,646.47,667.44,645.5,667.44,546200,0.0,0.0
2015-08-27 00:00:00+09:00,677.89,683.46,670.24,673.71,471400,0.0,0.0
